Day,Control,Type,Batch,Duplicate,Step,Moisture_content_(%),MW_duration_(min),Measurement,Result,,
36,N,Flour,3,1,D36,11,10,Water_Activity,0.144,,
36,N,Flour,3,2,D36,11,10,Water_Activity,0.143,,
36,Y,Flour,NA,1,D36,21,0,Water_Activity,0.184,,
36,Y,Flour,NA,2,D36,21,0,Water_Activity,0.184,,
36,N,Flour,1,1,D36,21,5,Water_Activity,0.169,,
36,N,Flour,1,2,D36,21,5,Water_Activity,0.169,,
36,N,Flour,2,1,D36,21,5,Water_Activity,0.151,,
36,N,Flour,2,2,D36,21,5,Water_Activity,0.156,,
36,N,Flour,3,1,D36,21,5,Water_Activity,0.146,,
36,N,Flour,3,2,D36,21,5,Water_Activity,0.144,,
36,N,Flour,1,1,D36,21,10,Water_Activity,0.152,,
36,N,Flour,1,2,D36,21,10,Water_Activity,0.150,,
36,N,Flour,2,1,D36,21,10,Water_Activity,0.148,,
36,N,Flour,2,2,D36,21,10,Water_Activity,0.146,,
36,N,Flour,3,1,D36,21,10,Water_Activity,0.158,,
36,N,Flour,3,2,D36,21,10,Water_Activity,0.158,,
36,Y,Flour,NA,1,D36,39,0,Water_Activity,0.190,,
36,Y,Flour,NA,2,D36,39,0,Water_Activity,0.186,,
36,N,Flour,1,1,D36,39,5,Water_Activity,0.170,,
36,N,Flour,1,2,D36,39,5,Water_Activity,0.169,,
36,N,Flour,2,1,D36,39,5,Water_Activity,0.143,,
36,N,Flour,2,2,D36,39,5,Water_Activity,0.143,,
36,N,Flour,3,1,D36,39,5,Water_Activity,0.174,,
36,N,Flour,3,2,D36,39,5,Water_Activity,0.175,,
36,N,Flour,1,1,D36,39,10,Water_Activity,0.166,,
36,N,Flour,1,2,D36,39,10,Water_Activity,0.166,,
36,N,Flour,2,1,D36,39,10,Water_Activity,0.164,,
36,N,Flour,2,2,D36,39,10,Water_Activity,0.168,,
36,N,Flour,3,1,D36,39,10,Water_Activity,0.153,,
36,N,Flour,3,2,D36,39,10,Water_Activity,0.153,,
40,Y,Flour,NA,1,D40,11,0,Water_Activity,0.183,,
40,Y,Flour,NA,2,D40,11,0,Water_Activity,0.180,,
40,N,Flour,1,1,D40,11,5,Water_Activity,0.131,,
40,N,Flour,1,2,D40,11,5,Water_Activity,0.128,,
40,N,Flour,2,1,D40,11,5,Water_Activity,0.154,,
40,N,Flour,2,2,D40,11,5,Water_Activity,0.153,,
40,N,Flour,3,1,D40,11,5,Water_Activity,0.136,,
40,N,Flour,3,2,D40,11,5,Water_Activity,0.132,,
40,N,Flour,1,1,D40,11,10,Water_Activity,0.161,,
40,N,Flour,1,2,D40,11,10,Water_Activity,0.164,,
40,N,Flour,2,1,D40,11,10,Water_Activity,"0,148",,
40,N,Flour,2,2,D40,11,10,Water_Activity,"0,148",,
40,N,Flour,3,1,D40,11,10,Water_Activity,0.139,,
40,N,Flour,3,2,D40,11,10,Water_Activity,0.142,,
40,Y,Flour,NA,1,D40,21,0,Water_Activity,0.152,,
40,Y,Flour,NA,2,D40,21,0,Water_Activity,0.156,,
40,N,Flour,1,1,D40,21,5,Water_Activity,0.157,,
40,N,Flour,1,2,D40,21,5,Water_Activity,0.158,,
40,N,Flour,2,1,D40,21,5,Water_Activity,0.152,,
40,N,Flour,2,2,D40,21,5,Water_Activity,0.154,,
40,N,Flour,3,1,D40,21,5,Water_Activity,0.153,,
40,N,Flour,3,2,D40,21,5,Water_Activity,0.153,,
40,N,Flour,1,1,D40,21,10,Water_Activity,0.145,,
40,N,Flour,1,2,D40,21,10,Water_Activity,0.143,,
40,N,Flour,2,1,D40,21,10,Water_Activity,0.147,,
40,N,Flour,2,2,D40,21,10,Water_Activity,0.146,,
40,N,Flour,3,1,D40,21,10,Water_Activity,0.144,,
40,N,Flour,3,2,D40,21,10,Water_Activity,0.146,,
40,Y,Flour,NA,1,D40,39,0,Water_Activity,0.199,,
40,Y,Flour,NA,2,D40,39,0,Water_Activity,0.200,,
40,N,Flour,1,1,D40,39,5,Water_Activity,0.169,,
40,N,Flour,1,2,D40,39,5,Water_Activity,0.168,,
40,N,Flour,2,1,D40,39,5,Water_Activity,0.156,,
40,N,Flour,2,2,D40,39,5,Water_Activity,0.155,,
40,N,Flour,3,1,D40,39,5,Water_Activity,0.161,,
40,N,Flour,3,2,D40,39,5,Water_Activity,0.165,,
40,N,Flour,1,1,D40,39,10,Water_Activity,0.144,,
40,N,Flour,1,2,D40,39,10,Water_Activity,0.144,,
40,N,Flour,2,1,D40,39,10,Water_Activity,0.158,,
40,N,Flour,2,2,D40,39,10,Water_Activity,0.159,,
40,N,Flour,3,1,D40,39,10,Water_Activity,0.140,,
40,N,Flour,3,2,D40,39,10,Water_Activity,0.140,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
